realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationTest at server/sonar-server/src/test/java/org/sonar/server/notifications/NotificationTest.java:28}	{Class NotificationTest at server/sonar-server/src/test/java/org/sonar/server/notification/NotificationTest.java:28})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationCenter at server/sonar-server/src/main/java/org/sonar/server/notifications/NotificationCenter.java:37}	{Class NotificationCenter at server/sonar-server/src/main/java/org/sonar/server/notification/NotificationCenter.java:36})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationCenterTest at server/sonar-server/src/test/java/org/sonar/server/notifications/NotificationCenterTest.java:31}	{Class NotificationCenterTest at server/sonar-server/src/test/java/org/sonar/server/notification/NotificationCenterTest.java:30})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class AlertsEmailTemplateTest at server/sonar-server/src/test/java/org/sonar/server/notifications/email/AlertsEmailTemplateTest.java:34}	{Class AlertsEmailTemplateTest at server/sonar-server/src/test/java/org/sonar/server/notification/email/AlertsEmailTemplateTest.java:34})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationService at server/sonar-server/src/main/java/org/sonar/server/notifications/NotificationService.java:51}	{Class NotificationService at server/sonar-server/src/main/java/org/sonar/server/notification/NotificationService.java:49})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationDispatcher at sonar-core/src/main/java/org/sonar/core/notification/NotificationDispatcher.java:43}	{Class NotificationDispatcher at server/sonar-server/src/main/java/org/sonar/server/notification/NotificationDispatcher.java:43})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationServiceTest at server/sonar-server/src/test/java/org/sonar/server/notifications/NotificationServiceTest.java:40}	{Class NotificationServiceTest at server/sonar-server/src/test/java/org/sonar/server/notification/NotificationServiceTest.java:38})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class NotificationDispatcherTest at sonar-core/src/test/java/org/sonar/core/notification/NotificationDispatcherTest.java:36}	{Class NotificationDispatcherTest at server/sonar-server/src/test/java/org/sonar/server/notification/NotificationDispatcherTest.java:36})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class EmailNotificationChannelTest at server/sonar-server/src/test/java/org/sonar/server/notifications/email/EmailNotificationChannelTest.java:42}	{Class EmailNotificationChannelTest at server/sonar-server/src/test/java/org/sonar/server/notification/email/EmailNotificationChannelTest.java:42})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class DefaultNotificationManager at sonar-core/src/main/java/org/sonar/core/notification/DefaultNotificationManager.java:46}	{Class DefaultNotificationManager at server/sonar-server/src/main/java/org/sonar/server/notification/DefaultNotificationManager.java:42})
sonarqube abbf32571232db81a5343db17a933a9ce6923b44 MOVE	{Class EmailNotificationChannel at server/sonar-server/src/main/java/org/sonar/server/notifications/email/EmailNotificationChannel.java:48}	{Class EmailNotificationChannel at server/sonar-server/src/main/java/org/sonar/server/notification/email/EmailNotificationChannel.java:48})
crash 2801269c7e47bd6e243612654a74cee809d20959 EXTRACT	{Method loadKeys() at connectors/ssh/src/main/java/org/crsh/auth/FilePublicKeyProvider.java:53}	{Method convertPemKeyPair(PEMKeyPair) at connectors/ssh/src/main/java/org/crsh/auth/FilePublicKeyProvider.java:84})
eclipse-themes 72f61ec9b85a740fd09d10ad711e275d2ec2e564 MOVE	{Class SplashHandler at net.jeeeyul.eclipse.themes.test.e4app/src/net/jeeeyul/eclipse/themes/test/e4app/SplashHandler.java:6}	{Class SplashHandler at net.jeeeyul.eclipse.themes.test.e4app/src/net/jeeeyul/eclipse/themes/test/e4app/handlers/SplashHandler.java:6})
eclipse-themes 72f61ec9b85a740fd09d10ad711e275d2ec2e564 MOVE	{Class AboutHandler at net.jeeeyul.eclipse.themes.test.e4app/src/net/jeeeyul/eclipse/themes/test/e4app/AboutHandler.java:6}	{Class AboutHandler at net.jeeeyul.eclipse.themes.test.e4app/src/net/jeeeyul/eclipse/themes/test/e4app/handlers/AboutHandler.java:6})
eclipse-themes 72f61ec9b85a740fd09d10ad711e275d2ec2e564 MOVE	{Class TestView at net.jeeeyul.eclipse.themes.test.e4app/src/net/jeeeyul/eclipse/themes/test/e4app/TestView.java:9}	{Class TestView at net.jeeeyul.eclipse.themes.test.e4app/src/net/jeeeyul/eclipse/themes/test/e4app/views/TestView.java:9})
jodd 722ef9156896248ef3fbe83adde0f6ff8f46856a EXTRACT	{Method formBuffer() at jodd-http/src/main/java/jodd/http/HttpBase.java:635}	{Method resolveFormEncoding() at jodd-http/src/main/java/jodd/http/HttpBase.java:725})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getGenericSignature() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:449}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testSingleUpperBoundTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:135}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method ParameterToken(ElementMatcher<? super TypeDescription>, ParameterDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:595}	{Method accept(GenericTypeDescription.Visitor<T>) at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeList.java:187})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method next() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:684}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:119}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testInterfaceOnlyMultipleUpperBoundTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:171}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testUpperBoundWildcardParameterizedType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:46}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:119}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getGenericSignature() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:449}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testMultipleUpperBoundTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:152}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testShadowedTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:190}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testUpperBoundWildcardParameterizedType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:46}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getInterfaces() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:343}	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1102})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method TypeVariableToken(ElementMatcher<? super TypeDescription>, GenericTypeDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:544}	{Method TypeVariableToken(GenericTypeDescription.Visitor<GenericTypeDescription>, GenericTypeDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:543})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method TypeVariableToken(ElementMatcher<? super TypeDescription>, GenericTypeDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:544}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testGenericArrayType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:103}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:30}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method setUp() at byte-buddy-dep/src/test/java/net/bytebuddy/dynamic/scaffold/inline/InlineInstrumentedTypeTest.java:37}	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1102})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method hashCode() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:394}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method onWildcardType(GenericTypeDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:168}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:813}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/inline/InlineInstrumentedType.java:172}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:833}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testRecursiveTypeVariable() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:300}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method setUp() at byte-buddy-dep/src/test/java/net/bytebuddy/dynamic/scaffold/inline/InlineInstrumentedTypeTest.java:37}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method MethodToken(List<? extends TypeDescription>, List<? extends TypeDescription>, int) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/DynamicType.java:1875}	{Method MethodToken(List<? extends GenericTypeDescription>, List<? extends GenericTypeDescription>, int) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/DynamicType.java:1876})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method TypeVariableToken(ElementMatcher<? super TypeDescription>, GenericTypeDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:354}	{Method TypeVariableToken(GenericTypeDescription.Visitor<GenericTypeDescription>, GenericTypeDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:354})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method equals(Object) at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:406}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testBackwardsReferenceTypeVariable() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:313}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testShadowedTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:190}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:455}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testNestedInnerType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:247}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testGenericArrayType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:103}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testNestedInnerMethod() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:270}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method ParameterToken(ElementMatcher<? super TypeDescription>, ParameterDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:595}	{Method ParameterToken(GenericTypeDescription.Visitor<GenericTypeDescription>, ParameterDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:594})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method FieldToken(ElementMatcher<? super TypeDescription>, FieldDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:401}	{Method FieldToken(GenericTypeDescription.Visitor<GenericTypeDescription>, FieldDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:400})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method toString() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:415}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 PULL_UP	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:159}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:24})
