Repository,Commit,Type,Node Before,Node After
darknet,8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,CHANGE_SIGNATURE,"src/batchnorm_layer.h:forward_batchnorm_layer(layer, network_state):178-231","src/batchnorm_layer.h:forward_batchnorm_layer(layer, network):178-223"
git,226c0ddd0d63dd6c8dde497c755af2ad1f02e0c1,RENAME_FUNCTION,exec_cmd.c:git_extract_argv0_path(char):962-1012,exec_cmd.c:git_resolve_executable_dir(char):5352-5406
toxcore,67df1ab7ce6b6cb8103ddf73df814f685240a59c,CHANGE_SIGNATURE,"toxcore/TCP_connection.c:new_tcp_connections(DHT, TCP_Proxy_Info):35285-35590","toxcore/TCP_connection.c:new_tcp_connections(uint8_t, TCP_Proxy_Info):35255-35722"
darknet,481b57a96a9ef29b112caec1bb3e17ffb043ceae,CHANGE_SIGNATURE,"src/route_layer.h:backward_route_layer(route_layer, network):262-316","src/route_layer.h:backward_route_layer(route_layer, network_state):270-332"
toxcore,c50781a2b7d0ab56acb31b8f79df2e69f9f74b8b,CHANGE_SIGNATURE,"other/bootstrap_daemon/src/logger.h:log(Logger, LOG_LEVEL, char):1601-1662","other/bootstrap_daemon/src/log.h:log(LOG_LEVEL, char):1548-1593"
redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,EXTRACT,"deps/jemalloc/src/ctl.c:arena_i_purge_ctl(size_t, size_t, void, size_t, void, size_t):42446-42734","deps/jemalloc/src/ctl.c:arena_i_decay(tsdn_t, null, bool):54657-55690"
tmux,c86d83f835ec5c589dedb5b21f45df468fe7c875,CHANGE_SIGNATURE,"window-copy.c:window_copy_search_down(window_pane, int):2932-2982",window-copy.c:window_copy_search_down(window_pane):2922-2967
darknet,0d6bb5d44d8e815ebf6ccce1dae2f83178780e7b,CHANGE_SIGNATURE,"src/image.h:back_convolve(image, image, int, int, image):1198-1270","src/image.h:back_convolve(image, image, int, int, image, int):1532-1614"
tmux,c799425069d02675474cda312fac1457829052fb,CHANGE_SIGNATURE,"notify.c:notify_winlink(char, session, winlink):4802-4997","notify.c:notify_winlink(char, winlink):4802-4985"
redis,cb9dde3280244ec3b449f081639c37dd5a1916ab,EXTRACT,src/module.c:moduleUnload(sds):147587-149249,src/module.c:moduleUnregisterCommands(RedisModule):145960-146769
php-src,f603ab57fc7f7c645cda3db7cf498f48114b8b7c,CHANGE_SIGNATURE,"ext/fileinfo/libmagic/cdf_time.c:cdf_timestamp_to_timespec(timeval, cdf_timestamp_t):2534-3492","ext/fileinfo/libmagic/cdf_time.c:cdf_timestamp_to_timespec(timespec, cdf_timestamp_t):2534-3414"
darknet,0d6bb5d44d8e815ebf6ccce1dae2f83178780e7b,CHANGE_SIGNATURE,"src/convolutional_layer.h:update_convolutional_layer(convolutional_layer, double):769-835","src/convolutional_layer.h:update_convolutional_layer(convolutional_layer, double, double, double):824-921"
redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,CHANGE_SIGNATURE,deps/jemalloc/src/ctl.c:ctl_postfork_parent(void):29484-29560,deps/jemalloc/src/ctl.c:ctl_postfork_parent(tsdn_t):38335-38424
obs-studio,8a59d68e477233d324995342814a3a18162197b9,EXTRACT,libobs/obs-properties.c:obs_proprety_text_type(obs_property_t):18230-18403,libobs/obs-properties.c:obs_property_text_type(obs_property_t):18230-18403
php-src,c4331b00be1a294fa20ee08a18cdd722f123c73a,CHANGE_SIGNATURE,"ext/sqlite3/libsqlite/sqlite3.c:sqlite3GenerateConstraintChecks(Parse, Table, int, int, int, int, int, u8, u8, int, int, int):4111648-4129358","ext/sqlite3/libsqlite/sqlite3.c:sqlite3GenerateConstraintChecks(Parse, Table, int, int, int, int, int, u8, u8, int, int, int, Upsert):4144365-4166159"
git,0ad4a5ff50dbc839ae26aa60c03b55bf416b6000,CHANGE_SIGNATURE,"refspec.h:free_refspec(int, refspec):467-520","refspec.h:free_refspec(int, refspec_item):487-545"
tmux,f56f09ea3871d3099dd31030501b982a4243a372,EXTRACT,"mode-tree.c:mode_tree_key(mode_tree_data, client, key_code, mouse_event):14974-18829",mode-tree.c:mode_tree_check_selected(mode_tree_data):2829-3086
linux,c4c129db5da8f070147f1757e16196d377ccf20b,CHANGE_SIGNATURE,"fs/btrfs/extent-tree.c:btrfs_subvolume_reserve_metadata(btrfs_root, btrfs_block_rsv, int, u64, bool):164769-165829","fs/btrfs/extent-tree.c:btrfs_subvolume_reserve_metadata(btrfs_root, btrfs_block_rsv, int, bool):164769-165752"
darknet,f7a17f82eb43de864a4f980f235055da9685eef8,CHANGE_SIGNATURE,"src/image.h:set_pixel(image, int, int, int, double):1194-1245","src/image.h:set_pixel(image, int, int, int, float):1184-1234"
darknet,c53e03348c65462bcba33f6352087dd6b9268e8f,RENAME_FUNCTION,"src/yoloplus.c:train_yoloplus(char, char):1807-4828","src/swag.c:train_swag(char, char):1803-4047"
darknet,8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,CHANGE_SIGNATURE,"src/detector.c:test_detector(char, char, char, char, float, float):19003-21298","src/detector.c:test_detector(char, char, char, char, float, float, char):19012-21436"
tmux,18bab3079228f5d7e85a615f57c12c16f9331568,CHANGE_SIGNATURE,tmux.h:screen_write_reverseindex(screen_write_ctx):53676-53728,"tmux.h:screen_write_reverseindex(screen_write_ctx, null):53727-53786"
darknet,00d483697a6e395ef6776320cd1e52a04f4367be,EXTRACT,"src/activations.c:activate(float, ACTIVATION):812-1154",src/activations.c:relu_activate(float):913-958
obs-studio,0497095f9747e473cc54344a38cee043de82d392,CHANGE_SIGNATURE,"plugins/obs-outputs/ftl-stream.c:send_packet(ftl_stream, encoder_packet, bool, size_t):9343-10425","plugins/obs-outputs/ftl-stream.c:send_packet(ftl_stream, encoder_packet, bool):9292-10337"
linux,267d2e18a281c965229a3c3ccce51c471f9c4f8a,RENAME_FUNCTION,"arch/nds32/kernel/dma.c:nds32_dma_free(device, size_t, void, dma_addr_t, null):5149-6592","arch/nds32/kernel/dma.c:arch_dma_free(device, size_t, void, dma_addr_t, null):4999-6430"
netdata,31440083b8f4054f96f9afcfc9a1e3e66ebb798c,CHANGE_SIGNATURE,"src/statistical.h:moving_average(double, size_t, size_t):151-223","src/statistical.h:moving_average(LONG_DOUBLE, size_t, size_t):151-223"
linux,2a3ff0adc92069122a75c3e37271d7ab7ce0dc1c,CHANGE_SIGNATURE,"fs/btrfs/extent_io.h:extent_readpages(extent_io_tree, address_space, list_head, null):13007-13141","fs/btrfs/extent_io.h:extent_readpages(address_space, list_head, null):13007-13105"
toxcore,22b1ebb46e5470d919e1f6896c99a82c29b443d3,EXTRACT,"toxcore/DHT.c:closelist_nodes(DHT, Node_format, uint16_t):71278-72211","toxcore/DHT.c:list_nodes(Client_data, int, Node_format, uint16_t):70408-71317"
darknet,809f924db2823b9e1eaf3efb9370380edc1f76ed,MOVE_FUNCTION,"src/mini_blas.h:pm(int, int, float):26-52","src/blas.h:pm(int, int, float):35-61"
obs-studio,daf5a4b9f3a4ac372387a9244addc46d47a7225e,MOVE_FUNCTION,libobs/obs-internal.h:obs_source_load(obs_source_t):23531-23568,libobs/obs.h:obs_source_load(obs_source_t):19056-19093
swoole-src,a9c87d7295d20b7314f457655cc3312b5b2c477b,MOVE_FUNCTION,swoole_postgresql_coro.c:Z_PARAM_LONG(null):17998-18023,swoole_postgresql_coro.c:Z_PARAM_LONG(null):18196-18221
redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,CHANGE_SIGNATURE,"deps/jemalloc/src/ctl.c:thread_allocatedp_ctl(size_t, size_t, void, size_t, void, size_t):2165-2193","deps/jemalloc/src/ctl.c:thread_allocatedp_ctl(tsd_t, size_t, size_t, void, size_t, void, size_t):2064-2092"
FFmpeg,aba39cc1f18faf68cf287032516c8ee4efb709b4,CHANGE_SIGNATURE,"libavfilter/vf_convolution.c:filter16_3x3(uint8_t, uint8_t, int, float, float, int, uint8_t, int, int):10762-11648","libavfilter/vf_convolution.c:filter16_3x3(uint8_t, int, float, float, int, uint8_t, int, int, int, int):11109-12025"
toxcore,0207fcdfb0e43d425abb026b08c074a6822e0349,EXTRACT,"toxcore/Messenger.c:do_receipts(Messenger, int32_t):10612-11475","toxcore/Messenger.c:friend_received_packet(Messenger, int32_t, uint32_t):10679-11016"
toxcore,2465f486acd90ed8395c8a83a13af09ecd024c98,RENAME_FUNCTION,"toxav/rtp.c:extract_header(uint8_t, int):2658-4426","toxav/rtp.c:parse_header_in(uint8_t, int):9246-10962"
darknet,158bb1bee9951875dbe3474d84c6663431e18301,CHANGE_SIGNATURE,"src/softmax_layer.h:backward_softmax_layer(softmax_layer, float, float):305-382","src/softmax_layer.h:backward_softmax_layer(softmax_layer, float):395-458"
darknet,b40bbdc7b230060fcef067d3b045b0f9bfc1cd23,CHANGE_SIGNATURE,"src/data.c:load_regression_labels_paths(char, int):14877-15425","src/data.c:load_regression_labels_paths(char, int, int):14877-15538"
tmux,9dc6946ebf359ec811cc4bb8b68ea9862b496369,EXTRACT,"tty.c:tty_cmd_clearstartofline(tty, tty_ctx):25068-25508","tty.c:tty_clear_line(tty, window_pane, u_int, u_int, u_int, u_int):17861-18808"
darknet,f199fd3b6464e644566d76676c0b5f1824d26c4e,CHANGE_SIGNATURE,"src/crop_layer.h:make_crop_layer(int, int, int, int, int, int, int, float):328-432","src/crop_layer.h:make_crop_layer(int, int, int, int, int, int, int, float, float, float):391-529"
redis,3fce4301ec54e173c811a8e08c320d9ef86c4de2,RENAME_FUNCTION,src/redis-cli.c:clusterManagerShowInfo(void):89754-91699,src/redis-cli.c:clusterManagerShowClusterInfo(void):89783-91735
linux,21ebfbe7e06cafb05c41cc39b058be35acb6c5da,CHANGE_SIGNATURE,"fs/btrfs/extent-tree.c:alloc_reserved_tree_block(btrfs_trans_handle, btrfs_delayed_ref_node, u64, btrfs_disk_key):2009-2162","fs/btrfs/extent-tree.c:alloc_reserved_tree_block(btrfs_trans_handle, btrfs_delayed_ref_node, btrfs_delayed_extent_op):2009-2166"
jq,6366cfd7a4275a25e128cc55f4c24a4079bc7005,RENAME_FUNCTION,libm.h:LIBM_DD(null):101-113,libm.h:LIBM_DD_NO(null):471-486
linux,4bac2bcd839605baf22e4c8b29e4e52156883e45,RENAME_FUNCTION,"net/nfc/llcp_sock.c:llcp_sock_poll(file, socket, poll_table):11626-12527","net/nfc/llcp_sock.c:llcp_sock_poll_mask(socket, __poll_t):11626-12461"
git,34caab0261d87b230520f97f2d1ce9ca4474dc73,CHANGE_SIGNATURE,"submodule-config.c:cache_lookup_name(submodule_cache, char, char):4599-5132","submodule-config.c:cache_lookup_name(submodule_cache, object_id, char):4612-5143"
darknet,6e7914530939aeaa4e6cc1a692b15e23d5173ae0,CHANGE_SIGNATURE,"src/image.c:draw_detections(image, int, float, box, float, float, char, image, int):6440-8814","src/image.c:draw_detections(image, detection, int, float, char, image, int):6440-8871"
toxcore,e998aca8f75e46cd360210ac588ee77af0106c6d,CHANGE_SIGNATURE,"toxencryptsave/toxencryptsave.c:tox_derive_key_with_salt(uint8_t, uint32_t, uint8_t, uint8_t):3843-5033","toxencryptsave/toxencryptsave.c:tox_derive_key_with_salt(uint8_t, size_t, uint8_t, uint8_t, TOX_ERR_KEY_DERIVATION):3885-5338"
linux,76f32e240ee6a3c1903ce8f1e934b43f2971bffc,CHANGE_SIGNATURE,"fs/btrfs/inode.c:btrfs_start_delalloc_inodes(btrfs_root, int):281593-281895",fs/btrfs/inode.c:btrfs_start_delalloc_inodes(btrfs_root):281593-281870
redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,CHANGE_SIGNATURE,"deps/jemalloc/src/ctl.c:arenas_bin_i_size_ctl(size_t, size_t, void, size_t, void, size_t):47566-47639","deps/jemalloc/src/ctl.c:arenas_bin_i_size_ctl(tsd_t, size_t, size_t, void, size_t, void, size_t):67062-67130"
jq,a83a9e0bc2c0fe4795eecf0c28dbac23887f4528,CHANGE_SIGNATURE,"util.c:jq_util_input_init(jq_err_cb, void):3594-4111","util.c:jq_util_input_init(jq_msg_cb, void):3594-4111"
php-src,c4331b00be1a294fa20ee08a18cdd722f123c73a,CHANGE_SIGNATURE,"ext/sqlite3/libsqlite/sqlite3.c:sqlite3AffinityType(char, u8):833378-833415","ext/sqlite3/libsqlite/sqlite3.c:sqlite3AffinityType(char, Column):849585-849626"
php-src,2e5ac355b9b578e5d1e460f2b2f4205f8a7c87b3,CHANGE_SIGNATURE,"ext/phar/phar_internal.h:phar_open_from_filename(char, int, char, int, int, phar_archive_data, char):16740-16873","ext/phar/phar_internal.h:phar_open_from_filename(char, size_t, char, size_t, uint32_t, phar_archive_data, char):16684-16828"
redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,CHANGE_SIGNATURE,"deps/jemalloc/src/ctl.c:opt_zero_ctl(size_t, size_t, void, size_t, void, size_t):2787-2806","deps/jemalloc/src/ctl.c:opt_zero_ctl(tsd_t, size_t, size_t, void, size_t, void, size_t):2831-2850"
redis,de7de53e641c93a634d6ce97d78685a1783d3a4b,CHANGE_SIGNATURE,"src/evict.c:getMaxmemoryState(size_t, size_t, size_t):16798-17758","src/evict.c:getMaxmemoryState(size_t, size_t, size_t, float):17207-18577"
jq,ae7f8d6ab9d29bd72f462fdafa4d7a9270706d3b,RENAME_FUNCTION,linker.c:name2relpath(jv):1160-1936,linker.c:validate_relpath(jv):2196-3481
jq,6366cfd7a4275a25e128cc55f4c24a4079bc7005,RENAME_FUNCTION,libm.h:LIBM_DD(null):304-319,libm.h:LIBM_DD_NO(null):1371-1389
php-src,ec5b408d815b655cda638c329439795c190ee0dc,MOVE_RENAME_FUNCTION,ext/mbstring/oniguruma/src/regenc.h:P_(null):6113-6169,"ext/mbstring/oniguruma/src/oniguruma.h:onigenc_strdup(OnigEncoding, OnigUChar, OnigUChar):14615-14688"
FFmpeg,300ef253141fbebf9b201de676db1bb9e4298c40,CHANGE_SIGNATURE,"libavcodec/cbs_internal.h:ff_cbs_trace_syntax_element(CodedBitstreamContext, int, char, char, int64_t):2289-2480","libavcodec/cbs_internal.h:ff_cbs_trace_syntax_element(CodedBitstreamContext, int, char, int, char, int64_t):2289-2503"
tmux,c86d83f835ec5c589dedb5b21f45df468fe7c875,CHANGE_SIGNATURE,"window-copy.c:window_copy_search_up(window_pane, int):34249-34370",window-copy.c:window_copy_search_up(window_pane):34057-34154
linux,87cc40bbe3371d0af1a2f31bf90665b55d3d1c0d,RENAME_FUNCTION,"drivers/lightnvm/pblk-read.c:pblk_partial_read_bio(pblk, nvm_rq, int, null):5932-8967","drivers/lightnvm/pblk-read.c:pblk_partial_read(pblk, nvm_rq, bio, int, null):5885-8899"
redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,CHANGE_SIGNATURE,"deps/jemalloc/src/ctl.c:arenas_nhbins_ctl(size_t, size_t, void, size_t, void, size_t):3909-3933","deps/jemalloc/src/ctl.c:arenas_nhbins_ctl(tsd_t, size_t, size_t, void, size_t, void, size_t):4049-4073"
swoole-src,0be121ed76617f891e2710b82d30d3a3d5d8611e,MOVE_FUNCTION,swoole_socket_coro.c:Z_PARAM_LONG(null):16159-16177,swoole_socket_coro.c:Z_PARAM_LONG(null):31138-31156
toxcore,c50781a2b7d0ab56acb31b8f79df2e69f9f74b8b,RENAME_FILE,other/bootstrap_daemon/src/logger.c:logger.c:0-2485,other/bootstrap_daemon/src/log.c:log.c:0-2510
darknet,1ef829e585c86e14504e4aae9ee0085c8f6a80be,MOVE_FILE,src/lsd.c:lsd.c:0-37360,examples/lsd.c:lsd.c:0-37400
jq,6366cfd7a4275a25e128cc55f4c24a4079bc7005,RENAME_FUNCTION,libm.h:LIBM_DD(null):194-208,libm.h:LIBM_DD_NO(null):887-904
darknet,516f019ba6fb88de7218dd3b4eaeadb1cf676518,MOVE_FUNCTION,"src/parser.c:print_softmax_cfg(FILE, softmax_layer, network, int):17947-18080","src/old.c:print_softmax_cfg(FILE, softmax_layer, network, int):3781-3914"
linux,12f5b93145450c750f315657ef239a314811aeeb,EXTRACT,block/blk-mq.c:blk_mq_free_request(request):11719-12717,block/blk-mq.c:__blk_mq_free_request(request):11747-12178
darknet,8c3694bc911bbeab63e75c18f920e0991a5fa877,EXTRACT,"src/network.c:network_accuracy(network, data):9756-10127","src/network.c:network_predict_data(network, data):8569-8930"
darknet,f7a17f82eb43de864a4f980f235055da9685eef8,CHANGE_SIGNATURE,"src/image.h:make_random_kernel(int, int, double):915-964","src/image.h:make_random_kernel(int, int, float):910-958"
nuklear,85d109e3513b5cbf51fbbd287ee6788c121799fc,CHANGE_SIGNATURE,"nuklear.h:nk_combo_begin_image_label(nk_context, nk_panel, char, nk_image, int):42042-42157","nuklear.h:nk_combo_begin_image_label(nk_context, nk_panel, char, nk_image, nk_vec2):42218-42342"
ijkplayer,c5c4fb2b21cde12f0827ed675b21f6a10e0076c3,RENAME_FUNCTION,"ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.h:SDL_AMediaCodec_FakeFifo_queue(SDL_AMediaCodec_FakeFifo, size_t, off_t, size_t, uint64_t, uint32_t):2086-2218","ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.h:SDL_AMediaCodec_FakeFifo_queueInputBuffer(SDL_AMediaCodec_FakeFifo, size_t, off_t, size_t, uint64_t, uint32_t):2086-2229"
redis,12e65a424c209bd922dc742f396f1b76bc6350d9,RENAME_FUNCTION,"src/aof.c:safe_write(int, char, size_t):10365-10799","src/aof.c:aofWrite(int, char, size_t):10891-11323"
nuklear,d4625dc9c138a29413a67cebfa4c225c6f7230b5,CHANGE_SIGNATURE,"nuklear.h:nk_edit_string(nk_context, nk_flags, char, int, int, nk_filter):35157-35245","nuklear.h:nk_edit_string(nk_context, nk_flags, char, int, int, nk_plugin_filter):35460-35555"
jq,0c93eb3379241dc4775718a9d39f54a6c4de20d6,MOVE_FILE,locfile.h:locfile.h:0-578,src/locfile.h:locfile.h:0-578
git,60fba4bf1670e6eabd61b04ebf86efedff866a50,CHANGE_SIGNATURE,"submodule.c:push_unpushed_submodules(oid_array, remote, char, int, string_list, int):28877-30282","submodule.c:push_unpushed_submodules(oid_array, remote, refspec, string_list, int):28853-30202"
FFmpeg,e9dd5b4f5eed46c576020b40ebaa87cdac2c633e,CHANGE_SIGNATURE,"libavfilter/vf_waveform.c:lowpass_row(WaveformContext, AVFrame, AVFrame, int, int, int, int, int, int):30916-30949","libavfilter/vf_waveform.c:lowpass_row(AVFilterContext, void, int, int):32450-32483"
nuklear,c5614d9098a971f4be723e9c1c253cf5e904f637,CHANGE_SIGNATURE,"nuklear.h:nk_button_image(nk_context, nk_image, nk_button_behavior):28463-28544","nuklear.h:nk_button_image(nk_context, nk_image):29350-29406"
obs-studio,3a05cf6ab05121d666d3d224a8f25784f99ae7c6,EXTRACT,libobs/callback/signal.c:signal_handler_destroy(signal_handler_t):3865-4257,libobs/callback/signal.c:signal_handler_actually_destroy(signal_handler_t):3940-4319
darknet,fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,MOVE_FUNCTION,src/data.h:load_cifar10_data(char):1725-1758,include/darknet.h:load_cifar10_data(char):10973-11006
darknet,43552b6d20be48d14508eb050d6def6b8f283217,RENAME_FUNCTION,"src/captcha.c:encode_captcha(char, char):2169-3491","src/captcha.c:train_captcha2(char, char):723-2689"
php-src,97ff815cbbfe524a46ab5e76312d19a4b3771079,EXTRACT,sapi/litespeed/lsapilib.c:LSAPI_Accept_r(LSAPI_Request):36702-38362,sapi/litespeed/lsapilib.c:lsapi_close_connection(LSAPI_Request):11181-11472
darknet,fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,MOVE_FUNCTION,src/convolutional_layer.h:rgbgr_weights(convolutional_layer):2469-2505,include/darknet.h:rgbgr_weights(layer):11535-11557
darknet,4bdf96bd6aafbec6bc3f0eab8739d6652878fd24,CHANGE_SIGNATURE,"src/network.c:update_network(network, double):1332-2048","src/network.c:update_network(network, double, double, double):1373-2137"
tmux,c86d83f835ec5c589dedb5b21f45df468fe7c875,CHANGE_SIGNATURE,"window-copy.c:window_copy_cursor_jump_to_back(window_pane, int):4887-4945",window-copy.c:window_copy_cursor_jump_to_back(window_pane):4867-4920
darknet,6e7914530939aeaa4e6cc1a692b15e23d5173ae0,CHANGE_SIGNATURE,"examples/detector.c:print_imagenet_detections(FILE, int, box, float, int, int, int, int):6561-7273","examples/detector.c:print_imagenet_detections(FILE, int, detection, int, int, int, int):6654-7396"
