"Commit","RefactoringType","Before","After","BeforeLOC","AfterLOC"
"aa54ffa485a6bf38b8c40b27b491152d6b613d0b"
"4a944d1a3fab9aa0bc8c985dfa7ad607ecf28531"
"51f614a15622441457ace729999ad024c652057a"
"de1b8e076a3f25429fb10734edd455432440be46"
"76b76c2d523f29f3d57896309aba0422c736d93d"
"f8be8d320f3eecdbb057b5b5f41e178614058b6e"
"7e3e9b6a64b898d3577625b6739f710644350724"
"5302b929ae55e86ad40b57d74c326529792d0439","INLINE","{function_declaration VendorlessPath(ipath string) at vendor/golang.org/x/tools/internal/imports/fix.go:1512}","{function_declaration VendorlessPath(ipath string) at vendor/golang.org/x/tools/internal/imports/fix.go:1510}","10","10"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2522}","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2726}","7","5"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration addClosedOrIdleNode(list *[]*priorityNode, maxSize int, n *priorityNode) at vendor/golang.org/x/net/http2/writesched_priority.go:431}","{method_declaration addClosedOrIdleNode(list *[]*priorityNodeRFC7540, maxSize int, n *priorityNodeRFC7540) at vendor/golang.org/x/net/http2/writesched_priority_rfc7540.go:430}","13","13"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{function_declaration parseARM64SystemRegisters(isar0, isar1, pfr0 uint64) at vendor/golang.org/x/sys/cpu/cpu_arm64.go:71}","{function_declaration parseARM64SystemRegisters(isar0, isar1, mmfr1, pfr0 uint64) at vendor/golang.org/x/sys/cpu/cpu_arm64.go:71}","113","129"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration remove(addr net.Addr) at vendor/golang.org/x/crypto/ssh/tcpip.go:255}","{method_declaration remove(n, addr string) at vendor/golang.org/x/crypto/ssh/tcpip.go:282}","11","11"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration checkFrameOrder(f Frame) at vendor/golang.org/x/net/http2/frame.go:554}","{method_declaration checkFrameOrder(fh FrameHeader) at vendor/golang.org/x/net/http2/frame.go:583}","35","34"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{function_declaration newBufferedWriter(group synctestGroupInterface, conn net.Conn, timeout time.Duration) at vendor/golang.org/x/net/http2/http2.go:264}","{function_declaration newBufferedWriter(conn net.Conn, timeout time.Duration) at vendor/golang.org/x/net/http2/http2.go:261}","7","6"
"5302b929ae55e86ad40b57d74c326529792d0439","INLINE","{function_declaration fillNetHTTPServerConfig(conf *http2Config, srv *http.Server) at vendor/golang.org/x/net/http2/config_go124.go:12}","{function_declaration configFromServer(h1 *http.Server, h2 *Server) at vendor/golang.org/x/net/http2/config.go:45}","3","18"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration ReadFrame() at vendor/golang.org/x/net/http2/frame.go:501}","{method_declaration ReadFrameForHeader(fh FrameHeader) at vendor/golang.org/x/net/http2/frame.go:525}","40","27"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2588}","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2617}","4","4"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration ReadFrame() at vendor/golang.org/x/net/http2/frame.go:501}","{method_declaration ReadFrameHeader() at vendor/golang.org/x/net/http2/frame.go:503}","40","17"
"5302b929ae55e86ad40b57d74c326529792d0439","INLINE","{function_declaration fillNetHTTPTransportConfig(conf *http2Config, tr *http.Transport) at vendor/golang.org/x/net/http2/config_go124.go:17}","{function_declaration configFromTransport(h2 *Transport) at vendor/golang.org/x/net/http2/config.go:66}","3","25"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration Read(p []byte) at vendor/golang.org/x/net/http2/transport.go:3140}","{method_declaration release(zr *gzip.Reader) at vendor/golang.org/x/net/http2/transport.go:3140}","13","9"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{function_declaration writeWithByteTimeout(group synctestGroupInterface, conn net.Conn, timeout time.Duration, p []byte) at vendor/golang.org/x/net/http2/http2.go:323}","{function_declaration writeWithByteTimeout(conn net.Conn, timeout time.Duration, p []byte) at vendor/golang.org/x/net/http2/http2.go:319}","22","16"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration forward(laddr, raddr net.Addr, ch NewChannel) at vendor/golang.org/x/crypto/ssh/tcpip.go:277}","{method_declaration forward(n, addr string, raddr net.Addr, ch NewChannel) at vendor/golang.org/x/crypto/ssh/tcpip.go:304}","11","11"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2399}","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2726}","10","5"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration setParent(parent *priorityNode) at vendor/golang.org/x/net/http2/writesched_priority.go:109}","{method_declaration setParent(parent *priorityNodeRFC7540) at vendor/golang.org/x/net/http2/writesched_priority_rfc7540.go:109}","34","34"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration add(addr net.Addr) at vendor/golang.org/x/crypto/ssh/tcpip.go:164}","{method_declaration add(n, addr string) at vendor/golang.org/x/crypto/ssh/tcpip.go:195}","10","11"
"5302b929ae55e86ad40b57d74c326529792d0439","EXTRACT","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2645}","{method_declaration GoString() at vendor/golang.org/x/net/dns/dnsmessage/message.go:2674}","11","11"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration removeNode(n *priorityNode) at vendor/golang.org/x/net/http2/writesched_priority.go:445}","{method_declaration removeNode(n *priorityNodeRFC7540) at vendor/golang.org/x/net/http2/writesched_priority_rfc7540.go:444}","7","7"
"5302b929ae55e86ad40b57d74c326529792d0439","CHANGE_SIGNATURE","{method_declaration walkReadyInOrder(openParent bool, tmp *[]*priorityNode, f func(*priorityNode, bool) bool) at vendor/golang.org/x/net/http2/writesched_priority.go:157}","{method_declaration walkReadyInOrder(openParent bool, tmp *[]*priorityNodeRFC7540, f func(*priorityNodeRFC7540, bool) bool) at vendor/golang.org/x/net/http2/writesched_priority_rfc7540.go:157}","52","52"
"fcdc4e24950ec821739040b936f13930630aa8d2"
"3661554f872acdc8eb4878d682c7e1e4c2526a6f"
"dae1dbc1ff19d25ea98613c857852864e9143559"
"6bf802807b7c55d2d2c5e48e2f5bd900586fbd3a","CHANGE_SIGNATURE","{function_declaration createServerObjects(namespace string, securityContext *v1.SecurityContext) at test/e2e/auth/projected_podcertificate.go:291}","{function_declaration createServerObjects(namespace string, spiffeSignerName string, securityContext *v1.SecurityContext) at test/e2e/auth/projected_podcertificate.go:280}","72","72"
"6bf802807b7c55d2d2c5e48e2f5bd900586fbd3a","CHANGE_SIGNATURE","{function_declaration createInspectorPod(namespace, podName string, userAnnotations map[string]string, maxExpirationSeconds *int32) at test/e2e/auth/projected_podcertificate.go:427}","{function_declaration createInspectorPod(namespace, podName string, userAnnotations map[string]string, maxExpirationSeconds *int32, spiffeSignerName string) at test/e2e/auth/projected_podcertificate.go:416}","42","42"
"6bf802807b7c55d2d2c5e48e2f5bd900586fbd3a","CHANGE_SIGNATURE","{function_declaration createClientObjects(namespace string, securityContext *v1.SecurityContext) at test/e2e/auth/projected_podcertificate.go:365}","{function_declaration createClientObjects(namespace string, spiffeSignerName string, securityContext *v1.SecurityContext) at test/e2e/auth/projected_podcertificate.go:354}","60","60"
"d80e73c0a9f2f617aa2364810cd081395c2fcc02","CHANGE_SIGNATURE","{function_declaration validateQuotaUsage(ctx context.Context, m *mockDriverSetup, currentQuota, expectedQuota *v1.ResourceQuota, uncachedClient corev1client.CoreV1Interface) at test/e2e/storage/csimock/csi_volume_expansion.go:596}","{function_declaration validateQuotaUsage(ctx context.Context, m *mockDriverSetup, currentQuota, expectedQuota *v1.ResourceQuota) at test/e2e/storage/csimock/csi_volume_expansion.go:592}","33","33"
"c33c0464db3d5b0adeaa27fce551a5c80c18ee40"
"950dfd612b48fce546856e75bd281df12f3d196d"
"ac90e6a809acad797a5f5bb8b1e6625a94a13a72"
"5ed9501d3cca8ce54a0be0fe068b47761934a430","CHANGE_SIGNATURE","{method_declaration GetNamespace(name string) at staging/src/k8s.io/apiserver/pkg/admission/plugin/policy/validating/admission_test.go:272}","{method_declaration GetNamespace(ctx context.Context, name string) at staging/src/k8s.io/apiserver/pkg/admission/plugin/policy/validating/admission_test.go:272}","3","3"
"5ed9501d3cca8ce54a0be0fe068b47761934a430","CHANGE_SIGNATURE","{method_declaration GetNamespace(name string) at staging/src/k8s.io/apiserver/pkg/admission/plugin/policy/generic/policy_matcher.go:100}","{method_declaration GetNamespace(ctx context.Context, name string) at staging/src/k8s.io/apiserver/pkg/admission/plugin/policy/generic/policy_matcher.go:101}","3","3"
"5ed9501d3cca8ce54a0be0fe068b47761934a430","CHANGE_SIGNATURE","{method_declaration GetNamespace(name string) at staging/src/k8s.io/apiserver/pkg/admission/plugin/policy/matching/matching.go:47}","{method_declaration GetNamespace(ctx context.Context, name string) at staging/src/k8s.io/apiserver/pkg/admission/plugin/policy/matching/matching.go:48}","3","3"
"4cf195304caa519be476b367267f6c656bce19f7"
"3e19cc51601f73b119ec980d33282fa4f0791fe0"
"04eb121d32e7b9d788555a43a8952e777cf519f0"
"f60f5b24605d98fe5976dd3a7dc554333bb85e07","CHANGE_SIGNATURE","{method_declaration runWorker() at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:283}","{method_declaration runWorker(ctx context.Context) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:287}","4","4"
"f60f5b24605d98fe5976dd3a7dc554333bb85e07","CHANGE_SIGNATURE","{method_declaration deleteInstances(crd *apiextensionsv1.CustomResourceDefinition) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:181}","{method_declaration deleteInstances(ctx context.Context, crd *apiextensionsv1.CustomResourceDefinition) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:181}","83","82"
"f60f5b24605d98fe5976dd3a7dc554333bb85e07","CHANGE_SIGNATURE","{method_declaration sync(key string) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:112}","{method_declaration sync(ctx context.Context, key string) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:112}","68","68"
"f60f5b24605d98fe5976dd3a7dc554333bb85e07","CHANGE_SIGNATURE","{method_declaration processNextWorkItem() at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:289}","{method_declaration processNextWorkItem(ctx context.Context) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:293}","18","18"
"f60f5b24605d98fe5976dd3a7dc554333bb85e07","EXTRACT","{method_declaration Run(workers int, stopCh <-chan struct{}) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:265}","{method_declaration RunWithContext(workers int, ctx context.Context) at staging/src/k8s.io/apiextensions-apiserver/pkg/controller/finalizer/crd_finalizer.go:269}","17","17"
"e08c1e4ce35934d127644efd3814675cc0865f14"
"a66c025dc9e5a454ba65ea3ce354e36c96883dd3"
"f76d0e5aa48f23850314060c8866b63662794880"
"216aaf76cba4b0cba05f0901d759dc017f833cd3"
"cee5b837da96f16536e048905bfe5be7103b21d2"
"854e67bb51e177b4b9c012928d8271704e9cb80d","EXTRACT","{method_declaration Pop() at pkg/scheduler/schedule_one.go:949}","{method_declaration Pop() at pkg/scheduler/schedule_one.go:946}","7","7"
"854e67bb51e177b4b9c012928d8271704e9cb80d","EXTRACT","{method_declaration Len() at pkg/scheduler/schedule_one.go:941}","{method_declaration Len() at pkg/scheduler/schedule_one.go:935}","1","1"
"854e67bb51e177b4b9c012928d8271704e9cb80d","CHANGE_SIGNATURE","{method_declaration evaluateNominatedNode(ctx context.Context, pod *v1.Pod, schedFramework framework.Framework, state fwk.CycleState, diagnosis framework.Diagnosis) at pkg/scheduler/schedule_one.go:558}","{method_declaration evaluateNominatedNode(ctx context.Context, pod *v1.Pod, schedFramework framework.Framework, state fwk.CycleState, nodeHint string, diagnosis framework.Diagnosis) at pkg/scheduler/schedule_one.go:575}","19","25"
"c68b35c4c75cb5d4c016799a966808dff3d9a9a5"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration OpenatInRoot(root *os.File, unsafePath string) at vendor/github.com/cyphar/filepath-securejoin/open_linux.go:19}","{function_declaration OpenatInRoot(root *os.File, unsafePath string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/open_linux.go:20}","7","7"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration slices_DeleteFunc(s S, del func(E) bool) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_unsupported.go:38}","{function_declaration SlicesDeleteFunc(s S, del func(E) bool) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_unsupported.go:43}","15","15"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration slices_Contains(s S, v E) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_unsupported.go:56}","{function_declaration SlicesContains(s S, v E) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_unsupported.go:62}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration SwapLink(linkPart string, dir *os.File, remainingPath, linkTarget string) at vendor/github.com/cyphar/filepath-securejoin/lookup_linux.go:134}","{method_declaration SwapLink(linkPart string, dir *os.File, remainingPath, linkTarget string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/lookup_linux.go:145}","14","14"
"1ce140d1055a7bb93503b7919cc073a5073cc170","INLINE","{function_declaration readCon(string) at vendor/github.com/opencontainers/selinux/go-selinux/selinux_stub.go:10}","{function_declaration pidLabel(pid int) at vendor/github.com/opencontainers/selinux/go-selinux/selinux_linux.go:545}","3","8"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration popPart(part string) at vendor/github.com/cyphar/filepath-securejoin/lookup_linux.go:61}","{method_declaration popPart(part string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/lookup_linux.go:72}","27","27"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration clearSlice(slice S) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_unsupported.go:20}","{function_declaration clearSlice(slice S) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_unsupported.go:23}","6","6"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration checkProcSelfFdPath(path string, file *os.File) at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:426}","{function_declaration CheckProcSelfFdPath(path string, file fd.Fd) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/procfs/procfs_linux.go:472}","13","13"
"1ce140d1055a7bb93503b7919cc073a5073cc170","EXTRACT","{function_declaration KeyLabel() at vendor/github.com/opencontainers/selinux/go-selinux/selinux.go:192}","{function_declaration keyLabel() at vendor/github.com/opencontainers/selinux/go-selinux/selinux_stub.go:80}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration PopPart(part string) at vendor/github.com/cyphar/filepath-securejoin/lookup_linux.go:89}","{method_declaration PopPart(part string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/lookup_linux.go:100}","20","20"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration readlinkatFile(dir *os.File, path string) at vendor/github.com/cyphar/filepath-securejoin/openat_linux.go:45}","{function_declaration Readlinkat(dir Fd, path string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/at_linux.go:87}","15","17"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration fsopen(fsName string, flags int) at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:77}","{function_declaration Fsopen(fsName string, flags int) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/mount_linux.go:22}","9","9"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration partialLookupOpenat2(root *os.File, unsafePath string) at vendor/github.com/cyphar/filepath-securejoin/openat2_linux.go:90}","{function_declaration partialLookupOpenat2(root fd.Fd, unsafePath string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/openat2_linux.go:64}","38","38"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration Unwrap() at vendor/github.com/cyphar/filepath-securejoin/gocompat_errors_unsupported.go:22}","{method_declaration Unwrap() at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_errors_unsupported.go:24}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration slices_Clone(s S) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_unsupported.go:61}","{function_declaration SlicesClone(s S) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_unsupported.go:68}","7","7"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration fstat(f *os.File) at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:19}","{function_declaration Fstat(fd Fd) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/fd_linux.go:41}","7","8"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration sync_OnceValue(f func() T) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_unsupported.go:70}","{function_declaration SyncOnceValue(f func() T) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_unsupported.go:78}","26","29"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration OpenInRoot(root, unsafePath string) at vendor/github.com/cyphar/filepath-securejoin/open_linux.go:43}","{function_declaration OpenInRoot(root, unsafePath string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/open.go:38}","8","8"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration Reopen(handle *os.File, flags int) at vendor/github.com/cyphar/filepath-securejoin/open_linux.go:65}","{function_declaration ReopenFd(handle fd.Fd, flags int) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/procfs/procfs_linux.go:491}","39","40"
"1ce140d1055a7bb93503b7919cc073a5073cc170","RENAME","{function_declaration max(a, b uint) at vendor/github.com/opencontainers/selinux/go-selinux/selinux_linux.go:643}","{function_declaration maxInt(a, b int) at vendor/github.com/opencontainers/selinux/go-selinux/selinux_linux.go:737}","6","6"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration Error() at vendor/github.com/cyphar/filepath-securejoin/gocompat_errors_unsupported.go:26}","{method_declaration Error() at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_errors_unsupported.go:28}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration lookupOpenat2(root *os.File, unsafePath string, partial bool) at vendor/github.com/cyphar/filepath-securejoin/openat2_linux.go:76}","{function_declaration lookupOpenat2(root fd.Fd, unsafePath string, partial bool) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/openat2_linux.go:50}","10","10"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration lookupInRoot(root *os.File, unsafePath string, partial bool) at vendor/github.com/cyphar/filepath-securejoin/lookup_linux.go:177}","{function_declaration lookupInRoot(root fd.Fd, unsafePath string, partial bool) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/lookup_linux.go:188}","212","212"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration openat2File(dir *os.File, path string, how *unix.OpenHow) at vendor/github.com/cyphar/filepath-securejoin/openat2_linux.go:46}","{function_declaration Openat2(dir Fd, path string, how *unix.OpenHow) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/openat2_linux.go:42}","29","21"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration fstatatFile(dir *os.File, path string, flags int) at vendor/github.com/cyphar/filepath-securejoin/openat_linux.go:37}","{function_declaration Fstatat(dir Fd, path string, flags int) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/at_linux.go:65}","7","9"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration sync_OnceValues(f func() (T1, T2)) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_go121.go:30}","{function_declaration SyncOnceValues(f func() (T1, T2)) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_go121.go:38}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration PopTopSymlink() at vendor/github.com/cyphar/filepath-securejoin/lookup_linux.go:149}","{method_declaration PopTopSymlink() at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/lookup_linux.go:160}","8","8"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration isDeadInode(file *os.File) at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:408}","{function_declaration IsDeadInode(file Fd) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/fd_linux.go:62}","17","17"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration privateProcRoot() at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:153}","{function_declaration privateProcRoot(subset bool) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/procfs/procfs_linux.go:149}","13","13"
"1ce140d1055a7bb93503b7919cc073a5073cc170","EXTRACT_MOVE","{function_declaration MkdirAll(root, unsafePath string, mode os.FileMode) at vendor/github.com/cyphar/filepath-securejoin/mkdir_linux.go:223}","{function_declaration MkdirAllHandle(root *os.File, unsafePath string, mode os.FileMode) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/mkdir_purego.go:40}","14","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration slices_DeleteFunc(slice S, delFn func(E) bool) at vendor/github.com/cyphar/filepath-securejoin/gocompat_generics_go121.go:14}","{function_declaration SlicesDeleteFunc(slice S, delFn func(E) bool) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_generics_go121.go:18}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration push(dir *os.File, remainingPath, linkTarget string) at vendor/github.com/cyphar/filepath-securejoin/lookup_linux.go:110}","{method_declaration push(dir *os.File, remainingPath, linkTarget string) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gopathrs/lookup_linux.go:121}","23","23"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration fstatfs(f *os.File) at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:27}","{function_declaration Fstatfs(fd Fd) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/fd_linux.go:51}","7","8"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE_RENAME","{function_declaration openTree(dir *os.File, path string, flags uint) at vendor/github.com/cyphar/filepath-securejoin/procfs_linux.go:115}","{function_declaration OpenTree(dir Fd, path string, flags uint) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/mount_linux.go:44}","15","11"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{method_declaration Is(target error) at vendor/github.com/cyphar/filepath-securejoin/gocompat_errors_unsupported.go:18}","{method_declaration Is(target error) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/gocompat/gocompat_errors_unsupported.go:20}","3","3"
"1ce140d1055a7bb93503b7919cc073a5073cc170","MOVE","{function_declaration scopedLookupShouldRetry(how *unix.OpenHow, err error) at vendor/github.com/cyphar/filepath-securejoin/openat2_linux.go:31}","{function_declaration scopedLookupShouldRetry(how *unix.OpenHow, err error) at vendor/github.com/cyphar/filepath-securejoin/pathrs-lite/internal/fd/openat2_linux.go:22}","12","12"
