repository,commit,type,before,after
"three.js","f0e7bdc1de54a1b896089d819872111a86aa4185","EXTRACT","{Function WebGLRenderer at src/renderers/WebGLRenderer.js:41}","{Function stopAnimation at src/renderers/WebGLRenderer.js:1059})"
"three.js","f0e7bdc1de54a1b896089d819872111a86aa4185","RENAME","{Function requestLoopFrame at src/renderers/WebGLRenderer.js:1066}","{Function requestAnimationLoopFrame at src/renderers/WebGLRenderer.js:1065})"
"react","71f591501b639c4adf329e1f586c7e04875dde7f","INLINE","{Function workLoopSync at src/renderers/shared/fiber/ReactFiberScheduler.js:813}","{Function workLoop at src/renderers/shared/fiber/ReactFiberScheduler.js:785})"
"react","71f591501b639c4adf329e1f586c7e04875dde7f","INLINE","{Function workLoopAsync at src/renderers/shared/fiber/ReactFiberScheduler.js:777}","{Function workLoop at src/renderers/shared/fiber/ReactFiberScheduler.js:785})"
"react","71f591501b639c4adf329e1f586c7e04875dde7f","RENAME","{Function findNextUnitOfWork at src/renderers/shared/fiber/ReactFiberScheduler.js:249}","{Function resetNextUnitOfWork at src/renderers/shared/fiber/ReactFiberScheduler.js:246})"
"three.js","8e8589c88105b4f9258867f61aadd70c9fccffaa","RENAME","{Function tangentCubicBezier at src/extras/core/Bezier.js:78}","{Function TangentCubicBezier at src/extras/core/Bezier.js:77})"
"three.js","8e8589c88105b4f9258867f61aadd70c9fccffaa","RENAME","{Function b2p0 at src/extras/core/Bezier.js:10}","{Function QuadraticBezierP0 at src/extras/core/Bezier.js:8})"
"three.js","8e8589c88105b4f9258867f61aadd70c9fccffaa","RENAME","{Function tangentQuadraticBezier at src/extras/core/Bezier.js:72}","{Function TangentQuadraticBezier at src/extras/core/Bezier.js:71})"
"three.js","8e8589c88105b4f9258867f61aadd70c9fccffaa","RENAME","{Function b3p0 at src/extras/core/Bezier.js:37}","{Function CubicBezierP0 at src/extras/core/Bezier.js:36})"
"three.js","8e8589c88105b4f9258867f61aadd70c9fccffaa","RENAME","{Function b3p1 at src/extras/core/Bezier.js:44}","{Function CubicBezierP1 at src/extras/core/Bezier.js:43})"
"react","6144212a8634948faf18cce8211c71e6f9d0667e","RENAME","{Function scheduleLowPriWork at src/renderers/shared/fiber/ReactFiberScheduler.js:238}","{Function scheduleDeferredWork at src/renderers/shared/fiber/ReactFiberScheduler.js:244})"
"react","6144212a8634948faf18cce8211c71e6f9d0667e","RENAME","{Function performLowPriWork at src/renderers/shared/fiber/ReactFiberScheduler.js:220}","{Function performDeferredWork at src/renderers/shared/fiber/ReactFiberScheduler.js:226})"
"angular.js","e9bf93d510a6a0c105d8f5d036ec35c7ce08a588","RENAME","{Function int at src/ngMock/angular-mocks.js:590}","{Function toInt at src/ngMock/angular-mocks.js:590})"
"react-native","57daad98f01b59fce9cb9bf663fd0b191c56b232","RENAME","{File StaticContainer.js at Libraries/Components/StaticContainer.js:1}","{File StaticContainer.react.js at Libraries/Components/StaticContainer.react.js:1})"
"react-native","57daad98f01b59fce9cb9bf663fd0b191c56b232","RENAME","{Class RCTRootViewIntegrationTestsApp at IntegrationTests/RCTRootViewIntegrationTestApp.js:38}","{Class RCTRootViewIntegrationTestApp at IntegrationTests/RCTRootViewIntegrationTestApp.js:38})"
"meteor","25bddd9a23dda6b309804e052232b09637250f42","RENAME","{File html5-tokenizer.js at packages/html5-tokenizer/html5-tokenizer.js:2}","{File html5_tokenizer.js at packages/html5-tokenizer/html5_tokenizer.js:2})"
"meteor","48947a46bf7204367dcd3294c93d55e2f36e01eb","RENAME","{File test_events.js at packages/test-helpers/test_events.js:1}","{File simulate_event.js at packages/test-helpers/simulate_event.js:1})"
"react-native","369e30f6859bc6af2a97670217ba142691bd49d9","RENAME","{File createReactNativeNativeComponentClass.js at Libraries/ReactNative/createReactNativeNativeComponentClass.js:1}","{File createReactNativeComponentClass.js at Libraries/ReactNative/createReactNativeComponentClass.js:1})"
"react-native","369e30f6859bc6af2a97670217ba142691bd49d9","RENAME","{File ReactNativeNativeComponent.js at Libraries/ReactNative/ReactNativeNativeComponent.js:1}","{File ReactNativeBaseComponent.js at Libraries/ReactNative/ReactNativeBaseComponent.js:1})"
"meteor","e710338a9490adbcfd0519d8dbfe1d3b34cb4ab9","RENAME","{File stream_client.js at packages/livedata/stream_client.js:1}","{File stream_client_sockjs.js at packages/livedata/stream_client_sockjs.js:1})"
"react","48e54da484bc3416572fb48bc22d748a60ecd54f","RENAME","{File xjs.js at vendor/fbtransform/transforms/xjs.js:1}","{File jsx.js at vendor/fbtransform/transforms/jsx.js:1})"
"react","48e54da484bc3416572fb48bc22d748a60ecd54f","RENAME","{Function renderXJSExpressionContainer at vendor/fbtransform/transforms/xjs.js:78}","{Function renderJSXExpressionContainer at vendor/fbtransform/transforms/jsx.js:78})"
"react","48e54da484bc3416572fb48bc22d748a60ecd54f","RENAME","{Function renderXJSLiteral at vendor/fbtransform/transforms/xjs.js:14}","{Function renderJSXLiteral at vendor/fbtransform/transforms/jsx.js:14})"
"react","366600d0b2b99ece8cd03d60e2a5454a02857502","RENAME","{File setInnerHTML-test.js at packages/react-dom/src/client/__tests__/setInnerHTML-test.js:1}","{File dangerouslySetInnerHTML-test.js at packages/react-dom/src/client/__tests__/dangerouslySetInnerHTML-test.js:1})"
"react-native","c948ae81686e2345d155577b4ff9f43f50021e99","RENAME","{File index.js at packager/src/node-haste/index.js:1}","{File DependencyGraph.js at packager/src/node-haste/DependencyGraph.js:1})"
"webpack","756f2ca1779fd9836412041cbc9baa7912d490ae","MOVE","{File webpack.config.js at test/configCases/plugins/dll-plugin/webpack.config.js:1}","{File webpack.config.js at test/configCases/plugins/lib-manifest-plugin/webpack.config.js:1})"
"vue","9bded22a83b6fb9a89a32009e7f47f6201e167a3","MOVE","{File richtext.spec.js at test/weex/runtime/component/richtext.spec.js:1}","{File richtext.spec.js at test/weex/runtime/components/richtext.spec.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactNoopUpdateQueue.js at packages/react/src/modern/class/ReactNoopUpdateQueue.js:1}","{File ReactNoopUpdateQueue.js at packages/react/src/class/ReactNoopUpdateQueue.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactContextValidator-test.js at packages/react/src/classic/__tests__/ReactContextValidator-test.js:1}","{File ReactContextValidator-test.js at packages/react/src/__tests__/ReactContextValidator-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactElement.js at packages/react/src/classic/element/ReactElement.js:1}","{File ReactElement.js at packages/react/src/element/ReactElement.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactElementValidator-test.js at packages/react/src/classic/element/__tests__/ReactElementValidator-test.js:1}","{File ReactElementValidator-test.js at packages/react/src/element/__tests__/ReactElementValidator-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactPureComponent-test.js at packages/react/src/modern/class/__tests__/ReactPureComponent-test.js:1}","{File ReactPureComponent-test.js at packages/react/src/class/__tests__/ReactPureComponent-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactElementValidator.js at packages/react/src/classic/element/ReactElementValidator.js:1}","{File ReactElementValidator.js at packages/react/src/element/ReactElementValidator.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactJSXElement-test.js at packages/react/src/modern/element/__tests__/ReactJSXElement-test.js:1}","{File ReactJSXElement-test.js at packages/react/src/element/__tests__/ReactJSXElement-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactCurrentOwner.js at packages/react/src/classic/element/ReactCurrentOwner.js:1}","{File ReactCurrentOwner.js at packages/react/src/element/ReactCurrentOwner.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactJSXElementValidator-test.js at packages/react/src/modern/element/__tests__/ReactJSXElementValidator-test.js:1}","{File ReactJSXElementValidator-test.js at packages/react/src/element/__tests__/ReactJSXElementValidator-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File createReactClassIntegration-test.js at packages/react/src/classic/__tests__/createReactClassIntegration-test.js:1}","{File createReactClassIntegration-test.js at packages/react/src/__tests__/createReactClassIntegration-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactClassEquivalence-test.js at packages/react/src/modern/class/__tests__/ReactClassEquivalence-test.js:1}","{File ReactClassEquivalence-test.js at packages/react/src/class/__tests__/ReactClassEquivalence-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactElementClone-test.js at packages/react/src/classic/element/__tests__/ReactElementClone-test.js:1}","{File ReactElementClone-test.js at packages/react/src/element/__tests__/ReactElementClone-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactES6Class-test.js at packages/react/src/modern/class/__tests__/ReactES6Class-test.js:1}","{File ReactES6Class-test.js at packages/react/src/class/__tests__/ReactES6Class-test.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactDebugCurrentFrame.js at packages/react/src/classic/element/ReactDebugCurrentFrame.js:1}","{File ReactDebugCurrentFrame.js at packages/react/src/element/ReactDebugCurrentFrame.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactBaseClasses.js at packages/react/src/modern/class/ReactBaseClasses.js:1}","{File ReactBaseClasses.js at packages/react/src/class/ReactBaseClasses.js:1})"
"react","08ff3d749d353a5ef5daf9fea78c456c5ebd048e","MOVE","{File ReactElement-test.js at packages/react/src/classic/element/__tests__/ReactElement-test.js:1}","{File ReactElement-test.js at packages/react/src/element/__tests__/ReactElement-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File FallbackCompositionState.js at packages/react-dom/src/shared/eventPlugins/FallbackCompositionState.js:1}","{File FallbackCompositionState.js at packages/react-dom/src/client/eventPlugins/FallbackCompositionState.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File ReactDOM-test.js at packages/react-dom/src/shared/__tests__/ReactDOM-test.js:1}","{File ReactDOM-test.js at packages/react-dom/src/__tests__/ReactDOM-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticClipboardEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticClipboardEvent.js:1}","{File SyntheticClipboardEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticClipboardEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File ReactDOMOption-test.js at packages/react-dom/src/shared/wrappers/__tests__/ReactDOMOption-test.js:1}","{File ReactDOMOption-test.js at packages/react-dom/src/__tests__/ReactDOMOption-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File warnValidStyle.js at packages/react-dom/src/shared/warnValidStyle.js:1}","{File warnValidStyle.js at packages/react-dom/src/shared/utils/warnValidStyle.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticFocusEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticFocusEvent.js:1}","{File SyntheticFocusEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticFocusEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File DOMEventPluginOrder.js at packages/react-dom/src/shared/eventPlugins/DOMEventPluginOrder.js:1}","{File DOMEventPluginOrder.js at packages/react-dom/src/client/eventPlugins/DOMEventPluginOrder.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File getEventCharCode.js at packages/react-dom/src/shared/utils/getEventCharCode.js:1}","{File getEventCharCode.js at packages/react-dom/src/client/utils/getEventCharCode.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File dangerousStyleValue.js at packages/react-dom/src/shared/dangerousStyleValue.js:1}","{File dangerousStyleValue.js at packages/react-dom/src/shared/utils/dangerousStyleValue.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File escapeTextContentForBrowser-test.js at packages/react-dom/src/shared/__tests__/escapeTextContentForBrowser-test.js:1}","{File escapeTextContentForBrowser-test.js at packages/react-dom/src/__tests__/escapeTextContentForBrowser-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SimpleEventPlugin-test.js at packages/react-dom/src/shared/eventPlugins/__tests__/SimpleEventPlugin-test.js:1}","{File SimpleEventPlugin-test.js at packages/react-dom/src/client/eventPlugins/__tests__/SimpleEventPlugin-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File ReactServerRendering-test.js at packages/react-dom/src/shared/__tests__/ReactServerRendering-test.js:1}","{File ReactServerRendering-test.js at packages/react-dom/src/__tests__/ReactServerRendering-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File inputValueTracking.js at packages/react-dom/src/shared/inputValueTracking.js:1}","{File inputValueTracking.js at packages/react-dom/src/client/utils/inputValueTracking.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticAnimationEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticAnimationEvent.js:1}","{File SyntheticAnimationEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticAnimationEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File ReactDOMIframe-test.js at packages/react-dom/src/shared/wrappers/__tests__/ReactDOMIframe-test.js:1}","{File ReactDOMIframe-test.js at packages/react-dom/src/__tests__/ReactDOMIframe-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticTouchEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticTouchEvent.js:1}","{File SyntheticTouchEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticTouchEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File ReactDOMNodeStreamRenderer.js at packages/react-dom/src/ReactDOMNodeStreamRenderer.js:1}","{File ReactDOMNodeStreamRenderer.js at packages/react-dom/src/server/ReactDOMNodeStreamRenderer.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE_RENAME","{File ReactTestUtilsEntry.js at packages/react-dom/src/ReactTestUtilsEntry.js:1}","{File ReactTestUtils.js at packages/react-dom/src/test-utils/ReactTestUtils.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File ReactDOMComponent-test.js at packages/react-dom/src/shared/__tests__/ReactDOMComponent-test.js:1}","{File ReactDOMComponent-test.js at packages/react-dom/src/__tests__/ReactDOMComponent-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticDragEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticDragEvent.js:1}","{File SyntheticDragEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticDragEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE_RENAME","{File ReactDOMFiberEntry.js at packages/react-dom/src/ReactDOMFiberEntry.js:1}","{File ReactDOM.js at packages/react-dom/src/client/ReactDOM.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","RENAME","{File ReactShallowRendererEntry.js at packages/react-test-renderer/src/ReactShallowRendererEntry.js:1}","{File ReactShallowRenderer.js at packages/react-test-renderer/src/ReactShallowRenderer.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticWheelEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticWheelEvent.js:1}","{File SyntheticWheelEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticWheelEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","RENAME","{File ReactEntry.js at packages/react/src/ReactEntry.js:1}","{File React.js at packages/react/src/React.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticInputEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticInputEvent.js:1}","{File SyntheticInputEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticInputEvent.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticClipboardEvent-test.js at packages/react-dom/src/shared/syntheticEvents/__tests__/SyntheticClipboardEvent-test.js:1}","{File SyntheticClipboardEvent-test.js at packages/react-dom/src/client/syntheticEvents/__tests__/SyntheticClipboardEvent-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File getEventKey-test.js at packages/react-dom/src/shared/utils/__tests__/getEventKey-test.js:1}","{File getEventKey-test.js at packages/react-dom/src/client/utils/__tests__/getEventKey-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File checkReact.js at packages/react-dom/src/shared/checkReact.js:1}","{File checkReact.js at packages/react-dom/src/shared/utils/checkReact.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File EnterLeaveEventPlugin-test.js at packages/react-dom/src/shared/eventPlugins/__tests__/EnterLeaveEventPlugin-test.js:1}","{File EnterLeaveEventPlugin-test.js at packages/react-dom/src/client/eventPlugins/__tests__/EnterLeaveEventPlugin-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File findDOMNode-test.js at packages/react-dom/src/shared/__tests__/findDOMNode-test.js:1}","{File findDOMNode-test.js at packages/react-dom/src/__tests__/findDOMNode-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File DOMPropertyOperations-test.js at packages/react-dom/src/shared/__tests__/DOMPropertyOperations-test.js:1}","{File DOMPropertyOperations-test.js at packages/react-dom/src/__tests__/DOMPropertyOperations-test.js:1})"
"react","313611572b6567d229367ed20ff63d1bca8610bb","MOVE","{File SyntheticUIEvent.js at packages/react-dom/src/shared/syntheticEvents/SyntheticUIEvent.js:1}","{File SyntheticUIEvent.js at packages/react-dom/src/client/syntheticEvents/SyntheticUIEvent.js:1})"
